            0         1000        11.69         0.00
            1         1000        11.31         0.09
            2         1000        11.16         0.18
            4         1000        11.09         0.36
            8         1000        11.14         0.72
           16         1000        11.16         1.43
           32         1000        11.13         2.87
           64         1000        11.16         5.74
          128         1000        11.24        11.39
          256         1000        11.36        22.54
          512         1000        11.60        44.12
         1024         1000        12.02        85.22
         2048         1000        13.42       152.65
         4096         1000        16.36       250.42
         8192         1000        20.94       391.22
        16384         1000        46.37       353.33
        32768         1000        53.45       613.01
        65536          640       111.94       585.47
       131072          320       145.88       898.48
       262144          160       240.46      1090.18
       524288           80       348.72      1503.48
      1048576           40       475.45      2205.46
      2097152           20       828.09      2532.53
      4194304           10      1572.64      2667.05
