            0         1000         1.27         0.00
            1         1000         1.40         0.72
            2         1000         1.35         1.48
            4         1000         1.32         3.03
            8         1000         1.39         5.75
           16         1000         1.34        11.93
           32         1000         1.40        22.89
           64         1000         1.40        45.76
          128         1000         1.78        71.87
          256         1000         1.84       139.13
          512         1000         1.99       256.98
         1024         1000         2.17       471.25
         2048         1000         2.54       805.22
         4096         1000         3.45      1187.94
         8192         1000         4.95      1654.33
        16384         1000         6.45      2539.36
        32768         1000         7.83      4182.73
        65536          640        10.48      6251.31
       131072          320        15.88      8251.88
       262144          160        26.64      9838.89
       524288           80        48.39     10835.46
      1048576           40        91.83     11418.41
      2097152           20       178.40     11755.57
      4194304           10       351.52     11932.07
