            0         1000        38.42         0.00
            1         1000        39.06         0.03
            2         1000        38.29         0.05
            4         1000        38.16         0.10
            8         1000        37.89         0.21
           16         1000        37.83         0.42
           32         1000        38.46         0.83
           64         1000        38.69         1.65
          128         1000        39.32         3.26
          256         1000        39.46         6.49
          512         1000        39.54        12.95
         1024         1000        40.32        25.40
         2048         1000        72.02        28.44
         4096         1000        74.61        54.90
         8192         1000        79.29       103.32
        16384         1000        92.03       178.04
        32768         1000       124.99       262.17
        65536          640       299.36       218.92
       131072          320       455.98       287.45
       262144          160       685.30       382.53
       524288           80      1130.04       463.96
      1048576           40      2097.80       499.85
      2097152           20      4008.37       523.19
      4194304           10      7916.70       529.80
