            0         1000        91.34         0.00
            1         1000       102.89         0.01
            2         1000       105.08         0.02
            4         1000       105.21         0.04
            8         1000       109.97         0.07
           16         1000       104.55         0.15
           32         1000       104.40         0.31
           64         1000       105.67         0.61
          128         1000        98.15         1.30
          256         1000       103.98         2.46
          512         1000       108.00         4.74
         1024         1000       133.26         7.68
         2048         1000       207.12         9.89
         4096         1000       215.42        19.01
         8192         1000       226.07        36.24
        16384         1000       315.64        51.91
        32768         1000       413.23        79.30
        65536          640       885.71        73.99
       131072          320      1068.56       122.66
       262144          160      1601.33       163.70
       524288           80      1889.56       277.46
      1048576           40      3147.17       333.18
      2097152           20      6715.93       312.27
      4194304           10     11936.48       351.39
