            0         1000       200.86         0.00
            1         1000       212.16         0.00
            2         1000       220.53         0.01
            4         1000       207.80         0.02
            8         1000       202.80         0.04
           16         1000       198.72         0.08
           32         1000       205.11         0.16
           64         1000       199.99         0.32
          128         1000       218.81         0.58
          256         1000       212.75         1.20
          512         1000       207.60         2.47
         1024         1000       225.40         4.54
         2048         1000       206.13         9.94
         4096         1000       278.27        14.72
         8192         1000       307.90        26.61
        16384         1000       386.71        42.37
        32768         1000       586.72        55.85
        65536          640      1319.11        49.68
       131072          320      2169.69        60.41
       262144          160      3438.34        76.24
       524288           80      6067.99        86.40
      1048576           40     11146.75        94.07
      2097152           20     20831.00       100.67
      4194304           10     40042.93       104.75

